GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore-core,piero.aldinucci.apt.bookstore.model,Book,106,0,14,0,32,0,17,0,10,0
bookstore-core,piero.aldinucci.apt.bookstore.model,Author,91,15,14,0,26,6,15,2,8,2
